+-----------------+-----------------+-----------------+
|       Word      |    TrueLabel    |     MyLabel     |
|      level      |     learned     |     hobbies     |
|       the       |     learned     |  belles_lettres |
|       the       |     romance     |  belles_lettres |
|      angry      |       lore      |  belles_lettres |
|        ,        |       news      |     romance     |
|        a        |    adventure    |       lore      |
|        or       |    editorial    |     learned     |
|        ,        |     fiction     |     romance     |
|     arrived     |     hobbies     |       lore      |
|     staying     |     romance     |    editorial    |
|        12       |     learned     |       news      |
|        .        |       lore      |    adventure    |
|      dates      |     reviews     |    government   |
|        ,        |       lore      |     romance     |
|       with      |    editorial    |     fiction     |
|        as       |    editorial    |  belles_lettres |
|        m.       |     learned     |       news      |
|     keening     | science_fiction |     romance     |
|    interstate   |    government   |     learned     |
|      expel      |     religion    |     learned     |
|       jr.       |     hobbies     |       news      |
|      teeth      |       lore      |       lore      |
|      graves     |       lore      |    editorial    |
|       into      |     learned     |  belles_lettres |
|       its       |       lore      |     learned     |
|        .        |     romance     |    adventure    |
|      nation     |     learned     |  belles_lettres |
|        .        |       lore      |    adventure    |
|    bagatelles   |     reviews     |     hobbies     |
|     paraded     |     romance     |    government   |
|        no       |  belles_lettres |     mystery     |
|       had       |       lore      |     fiction     |
|       will      |     learned     |       news      |
|       his       |    adventure    |    adventure    |
|      smell      |     fiction     |     fiction     |
|       this      |    government   |  belles_lettres |
|     stopping    |  belles_lettres |     hobbies     |
|     manuals     |    government   |     learned     |
|        af       |     learned     |     learned     |
|       not       |  belles_lettres |  belles_lettres |
|   agricultural  |       lore      |    government   |
|       when      |       lore      |     fiction     |
|     eromonga    |    adventure    |    adventure    |
|      hands      |     learned     |    adventure    |
|       and       |     mystery     |  belles_lettres |
|       with      |     hobbies     |     fiction     |
|      group      |    editorial    |     learned     |
|       deep      |    adventure    |    adventure    |
|     alimony     |     romance     |     reviews     |
|   procreation   |     fiction     |    government   |
|    apparently   |       lore      |     learned     |
|     official    |       news      |    government   |
|        of       |     romance     |     learned     |
|       had       |     fiction     |     fiction     |
|        to       |  belles_lettres |  belles_lettres |
|       7th       |       lore      |       lore      |
|        ?        |     romance     |     mystery     |
|        .        |     learned     |    adventure    |
|       view      |     fiction     |       lore      |
|    unfitting    |     learned     |     learned     |
|     authors     |     learned     |     learned     |
|       for       |     hobbies     |    government   |
|       sand      |     romance     |     romance     |
|    something    |  belles_lettres |     learned     |
|       were      |    editorial    |     fiction     |
|       same      |    editorial    |     learned     |
|    everything   |     reviews     |  belles_lettres |
|     initial     |     learned     |     learned     |
|    discussion   |     learned     |     learned     |
|    additional   |     learned     |    government   |
|   vowel-length  |     learned     |     learned     |
|        it       |    government   |     mystery     |
|      maker      |     hobbies     |     hobbies     |
|       was       |     romance     |     fiction     |
|      means      |     learned     |     learned     |
|       the       |  belles_lettres |  belles_lettres |
|       only      |       news      |     learned     |
|      along      |     romance     |     romance     |
|       and       |    editorial    |  belles_lettres |
|      would      |     romance     |     fiction     |
|     foreign     |    editorial    |    government   |
|       knee      |       news      |     mystery     |
|        ,        |     romance     |     romance     |
|    reputation   |       lore      |    government   |
|     bregman     |       news      |       lore      |
|    education    |     learned     |     learned     |
|        ,        |     fiction     |     romance     |
|      within     |     learned     |  belles_lettres |
|        in       |    adventure    |     learned     |
|       asia      |       lore      |    editorial    |
|    momentous    |  belles_lettres |    editorial    |
|       the       |    editorial    |  belles_lettres |
|     settled     |       lore      |     fiction     |
|        ?        |     religion    |     mystery     |
|       fast      |     learned     |       lore      |
|     advanced    |       lore      |    government   |
|        so       |     fiction     |     romance     |
|     allowed     |    government   |       lore      |
|     picture     |       news      |     hobbies     |
|       and       |     romance     |  belles_lettres |
|     students    |     reviews     |    government   |
|       may       |     learned     |    government   |
|     through     |     hobbies     |     learned     |
|      hailed     |       news      |    adventure    |
|        it       |     mystery     |     mystery     |
|       the       |     mystery     |  belles_lettres |
|        ,        |       lore      |     romance     |
|      canyon     |    adventure    |     learned     |
|      strode     |    adventure    |    government   |
|       pore      |     learned     |     learned     |
|       for       |     fiction     |    government   |
|       you       |     mystery     |     romance     |
|       that      |  belles_lettres |  belles_lettres |
|    conference   |    editorial    |    government   |
|      about      |  belles_lettres |     romance     |
|    dedication   |    government   |    government   |
|        a        |    adventure    |       lore      |
|      worth      |       news      |       lore      |
|        --       |       news      |     mystery     |
|      trains     |     fiction     |  belles_lettres |
|        of       |       lore      |     learned     |
|       ripe      |     romance     |     hobbies     |
|      books      |     religion    |       news      |
|      litter     |     fiction     |       lore      |
|        .        |  belles_lettres |    adventure    |
|       have      |     learned     |  belles_lettres |
|      wasn't     |     romance     |     romance     |
|     decided     |       lore      |       news      |
|       thus      |     learned     |     learned     |
|     winning     |       news      |       news      |
|        as       |     learned     |  belles_lettres |
|      policy     |     learned     |     learned     |
|      foods      |     learned     |     learned     |
|      don't      |    adventure    |     mystery     |
|     chiuchow    |       news      |     fiction     |
|      being      |     religion    |     learned     |
|        ,        |  belles_lettres |     romance     |
|      choice     |     learned     |     learned     |
|     nothing     |     romance     |  belles_lettres |
|     founded     |       lore      |  belles_lettres |
|      trips      |     romance     |     hobbies     |
|       the       |    editorial    |  belles_lettres |
|       been      |     learned     |     learned     |
|     quality     |  belles_lettres |     learned     |
|        of       |     learned     |     learned     |
|      staff      |     religion    |       news      |
|        ,        |  belles_lettres |     romance     |
|        is       |     learned     |     learned     |
|      weaken     |       news      |     romance     |
|       men       |  belles_lettres |  belles_lettres |
|        ,        |     romance     |     romance     |
|    prentice's   |       news      |    government   |
|       the       |  belles_lettres |  belles_lettres |
|       west      |     romance     |    editorial    |
|    qualities    |     mystery     |     learned     |
|      simply     |  belles_lettres |     learned     |
|       that      |     romance     |  belles_lettres |
|        on       |    government   |     learned     |
|        ,        |     hobbies     |     romance     |
|        ,        |       lore      |     romance     |
|        ,        |       lore      |     romance     |
|      german     |  belles_lettres |       lore      |
|     highboy     |     mystery     |     romance     |
|       that      |  belles_lettres |  belles_lettres |
|        ?        |     romance     |     mystery     |
|        .        |  belles_lettres |    adventure    |
|      ground     |     romance     |    adventure    |
|      prior      |    government   |    government   |
|      which      |  belles_lettres |  belles_lettres |
|       and       |     fiction     |  belles_lettres |
|        a        |     hobbies     |       lore      |
|        10       |     reviews     |       news      |
|     station     |  belles_lettres |    government   |
|       that      |    government   |  belles_lettres |
|     getting     |     religion    |     fiction     |
|        30       |       news      |    government   |
|     daytime     |    government   |    government   |
|        as       |    editorial    |  belles_lettres |
|    discretion   |    government   |    government   |
|        in       |    government   |     learned     |
|     special     |       news      |     learned     |
|     brightly    |  belles_lettres |     hobbies     |
|    character    |     learned     |  belles_lettres |
|       town      |       news      |    adventure    |
|   furnishings   |     fiction     |     hobbies     |
|       bed       |     mystery     |     fiction     |
|       the       |     reviews     |  belles_lettres |
|    marvelous    |  belles_lettres |     learned     |
|       june      |  belles_lettres |       news      |
|        it       |    adventure    |     mystery     |
|       his       |  belles_lettres |    adventure    |
|       and       |    editorial    |  belles_lettres |
|        to       |  belles_lettres |  belles_lettres |
|        an       |       lore      |  belles_lettres |
|       but       |     mystery     |     romance     |
|     perhaps     |    editorial    |  belles_lettres |
|        ,        |     hobbies     |     romance     |
|       5.4       |     learned     |    government   |
|      laredo     |  belles_lettres |     hobbies     |
|       and       |     hobbies     |  belles_lettres |
|     unworthy    |       lore      |  belles_lettres |
|    addressed    |     learned     |       news      |
|      lord's     |    adventure    |     fiction     |
|       then      |     romance     |     fiction     |
|       cut       |     hobbies     |     hobbies     |
|      better     |     hobbies     |     hobbies     |
|       the       |    editorial    |  belles_lettres |
|        i        |     romance     |      humor      |
|     federal     |       news      |     learned     |
|       had       |     fiction     |     fiction     |
|     nations     |       lore      |  belles_lettres |
|       the       |      humor      |  belles_lettres |
|       can       |    government   |     hobbies     |
|       sink      |     romance     |     fiction     |
|    companies    |       news      |     learned     |
|        of       |    adventure    |     learned     |
|      water      |     learned     |    adventure    |
|       some      |     hobbies     |  belles_lettres |
|      touch      |     reviews     |     learned     |
|     lighted     |     hobbies     |     mystery     |
|     coiling     |    adventure    |     hobbies     |
|        ,        |    editorial    |     romance     |
|        a        |  belles_lettres |       lore      |
|       she       |      humor      |     romance     |
|        .        |       news      |    adventure    |
|        ,        |     romance     |     romance     |
|      issues     |     learned     |     learned     |
|    abilities    |     learned     |  belles_lettres |
|        of       |    government   |     learned     |
|       one       |     reviews     |  belles_lettres |
|      lagers     |     fiction     |       news      |
|       the       |       lore      |  belles_lettres |
|    advantages   |     hobbies     |    government   |
|        .        |  belles_lettres |    adventure    |
|     already     |     mystery     |    editorial    |
|     bricker     |       news      |     hobbies     |
|       also      |     learned     |     learned     |
|        i        |  belles_lettres |      humor      |
|    published    |     hobbies     |    government   |
|        we       |       lore      |     religion    |
|       look      |     fiction     |     romance     |
|     industry    |    editorial    |     learned     |
|        or       |    government   |     learned     |
|        to       |       lore      |  belles_lettres |
|       the       |     romance     |  belles_lettres |
|      thomas     |       news      |  belles_lettres |
|        .        |     learned     |    adventure    |
|      cooled     |     learned     |     hobbies     |
|    establish    |       lore      |  belles_lettres |
|        ,        |      humor      |     romance     |
|        of       |    adventure    |     learned     |
|       for       |  belles_lettres |    government   |
|       eggs      |     fiction     |     reviews     |
|       than      |    editorial    |  belles_lettres |
|     himself     |     romance     |  belles_lettres |
|      weeks      |  belles_lettres |     romance     |
|   stimulation   |       lore      |     learned     |
|     precise     |  belles_lettres |     learned     |
|       what      |     learned     |     fiction     |
|        a        |     fiction     |       lore      |
|       the       |      humor      |  belles_lettres |
|      things     |     fiction     |  belles_lettres |
|      prices     |     learned     |    government   |
|       that      |     mystery     |  belles_lettres |
|      public     |     learned     |     learned     |
|        ;        |     hobbies     |     religion    |
|        --       |       news      |     mystery     |
|        to       |     hobbies     |  belles_lettres |
|       with      |     reviews     |     fiction     |
|     reaction    |  belles_lettres |     learned     |
|        in       |     learned     |     learned     |
|      reader     |     learned     |     learned     |
|        ,        |    editorial    |     romance     |
|   capabilities  |     learned     |     learned     |
|        at       |     learned     |       news      |
|       they      |       news      |  belles_lettres |
|       had       |       lore      |     fiction     |
|       only      |       lore      |     learned     |
|      wisely     |     reviews     |  belles_lettres |
|        .        |     mystery     |    adventure    |
|        ,        |     learned     |     romance     |
|        f.       |     learned     | science_fiction |
|        ``       |      humor      |     romance     |
|       the       |     learned     |  belles_lettres |
|       with      |    adventure    |     fiction     |
|        to       |       news      |  belles_lettres |
|     carried     |  belles_lettres |     learned     |
|       the       |  belles_lettres |  belles_lettres |
|        ;        |     fiction     |     religion    |
|        of       |    government   |     learned     |
|      system     |       news      |     learned     |
|    definitely   |     reviews     |     learned     |
|       fair      |    editorial    |       news      |
|        to       |     reviews     |  belles_lettres |
|        ;        |       lore      |     religion    |
|       arch      |     hobbies     |     hobbies     |
|        as       |    editorial    |  belles_lettres |
|       know      |     fiction     |     mystery     |
|       the       |     religion    |  belles_lettres |
|        by       |  belles_lettres |     learned     |
|        i        |     learned     |      humor      |
|    stretching   |     reviews     |     learned     |
|      spirit     |     religion    |     religion    |
|  cardiovascular |     learned     |    government   |
|      junior     |       news      |       news      |
|        ,        |       lore      |     romance     |
|        of       |  belles_lettres |     learned     |
|       that      |     mystery     |  belles_lettres |
|       here      |     mystery     |     romance     |
|      fired      |     hobbies     |     hobbies     |
|        it       |     romance     |     mystery     |
|     abstract    |     learned     |     learned     |
|        ;        |       lore      |     religion    |
|      missed     |     mystery     |     fiction     |
|    stylemark    |     hobbies     |     reviews     |
|        by       |     romance     |     learned     |
|       lead      |    government   |    adventure    |
|       this      |    adventure    |  belles_lettres |
|       but       |    adventure    |     romance     |
|       that      |  belles_lettres |  belles_lettres |
|        an       |       news      |  belles_lettres |
|      either     |     reviews     |     learned     |
|        &        |    government   |    government   |
|       for       |     romance     |    government   |
|        .        |     learned     |    adventure    |
|       the       |       news      |  belles_lettres |
|    adjustment   |     learned     |    government   |
|        ,        |    government   |     romance     |
|        do       |    editorial    |     mystery     |
|       used      |  belles_lettres |     learned     |
|      strong     |    government   |     learned     |
|     present     |     romance     |    government   |
|      troops     |    editorial    |    editorial    |
|      water      |  belles_lettres |    adventure    |
|       you       |    adventure    |     romance     |
|        to       |  belles_lettres |  belles_lettres |
|        of       |     religion    |     learned     |
|        in       |     learned     |     learned     |
|     progress    |     fiction     |    government   |
|        is       |     learned     |     learned     |
|      public     |    government   |     learned     |
|       such      |  belles_lettres |     learned     |
|        ``       |     religion    |     romance     |
|        :        |  belles_lettres |     religion    |
|      ritual     |     religion    |     religion    |
|       time      |    adventure    |       lore      |
|        of       |    editorial    |     learned     |
|     shoulder    |     fiction     |    adventure    |
|       po'       |     fiction     |     fiction     |
|        it       |  belles_lettres |     mystery     |
|       the       |    editorial    |  belles_lettres |
|       the       |       news      |  belles_lettres |
|      forms      |     learned     |     learned     |
|        .        |  belles_lettres |    adventure    |
|       like      |     mystery     |     romance     |
|      onion      |     hobbies     |     hobbies     |
|       were      |     romance     |     fiction     |
|     formulae    |     reviews     |     learned     |
|      family     |  belles_lettres |       lore      |
|        so       |    adventure    |     romance     |
|      three      |     religion    |       news      |
|        af       |     learned     |     learned     |
|      arthur     |  belles_lettres |  belles_lettres |
|        .        |       news      |    adventure    |
|      anyone     | science_fiction |  belles_lettres |
|       had       |     mystery     |     fiction     |
|        ,        |     fiction     |     romance     |
|       with      |     romance     |     fiction     |
|        a        |     romance     |       lore      |
|      cubism     |     learned     |     learned     |
|        .        |     hobbies     |    adventure    |
|     sheriff     |     mystery     |     mystery     |
|       and       |       news      |  belles_lettres |
|       her       |       news      |     romance     |
|        ,        |     romance     |     romance     |
|       and       |    government   |  belles_lettres |
|   description   |     learned     |     learned     |
|       and       |    adventure    |  belles_lettres |
|       meet      |     learned     |       news      |
|        in       |     hobbies     |     learned     |
|       you       |       lore      |     romance     |
|      issue      |  belles_lettres |     learned     |
|       and       |     religion    |  belles_lettres |
|        so       |     reviews     |     romance     |
|       nor       |    government   |  belles_lettres |
|        ;        |     learned     |     religion    |
|        an       |       lore      |  belles_lettres |
|        do       | science_fiction |     mystery     |
|     product     |     hobbies     |    government   |
|       fire      |  belles_lettres |     hobbies     |
|        a        |       news      |       lore      |
|        a        |     fiction     |       lore      |
|      steep      |     religion    |     hobbies     |
|       this      |    government   |  belles_lettres |
|       been      |     mystery     |     learned     |
|        ,        |  belles_lettres |     romance     |
|        by       |     learned     |     learned     |
|       the       |     reviews     |  belles_lettres |
|    thornburg    |     mystery     |  belles_lettres |
|        ''       |     romance     |     romance     |
|  micrometeorite |     learned     |     learned     |
|   contributed   |    editorial    |    government   |
|        in       |       lore      |     learned     |
|     answers     | science_fiction |  belles_lettres |
|       the       |     mystery     |  belles_lettres |
|      prevot     |     fiction     |    government   |
|       and       |       lore      |  belles_lettres |
|      murrin     |       lore      |      humor      |
|     central     |     learned     |     learned     |
|        ,        |     learned     |     romance     |
|        in       |    adventure    |     learned     |
|       was       |     learned     |     fiction     |
|        of       |       news      |     learned     |
|      those      |     hobbies     |  belles_lettres |
|    individual   |       news      |     learned     |
|       each      |    editorial    |     learned     |
|     citizens    |       lore      |    editorial    |
|        a        |    adventure    |       lore      |
|       has       |     learned     |     reviews     |
|        no       |     learned     |     mystery     |
|       more      |  belles_lettres |     learned     |
|       she       |    adventure    |     romance     |
|        my       |     religion    |      humor      |
|     specimen    |     learned     |     learned     |
|       fate      |     learned     |  belles_lettres |
|     instead     |       lore      |  belles_lettres |
|    ballistic    |     hobbies     |    government   |
|        is       |     learned     |     learned     |
|       was       |       news      |     fiction     |
|        of       |       lore      |     learned     |
|       the       |       news      |  belles_lettres |
|     ceramic     |     learned     |     learned     |
|      fears      |     religion    |     religion    |
|        ?        |    adventure    |     mystery     |
|      types      |     learned     |     learned     |
|       into      | science_fiction |  belles_lettres |
|     winslow     |       lore      |       lore      |
|     shatter     |     mystery     |    government   |
|     alerting    |     learned     |     hobbies     |
|      glass      |  belles_lettres |     hobbies     |
|        in       |  belles_lettres |     learned     |
|        to       |    editorial    |  belles_lettres |
|        i        |     mystery     |      humor      |
|        .        |       news      |    adventure    |
|      first      |       lore      |     learned     |
|        in       |  belles_lettres |     learned     |
|      atty.      |    editorial    |       news      |
|       had       |       news      |     fiction     |
|       the       |     learned     |  belles_lettres |
|        a        |     learned     |       lore      |
|       most      |    editorial    |       lore      |
|      major      |  belles_lettres |     learned     |
|        of       |       lore      |     learned     |
|      dived      |    adventure    |    adventure    |
|      mantle     |       news      |       news      |
|        is       |  belles_lettres |     learned     |
|    reflecting   |    editorial    |     learned     |
|       and       |     fiction     |  belles_lettres |
|      though     |     learned     |  belles_lettres |
|       stop      |     romance     |     hobbies     |
|      false      |    editorial    |  belles_lettres |
|      trout      |     hobbies     |     hobbies     |
|      piece      |     hobbies     |     hobbies     |
|        be       |     learned     |     learned     |
|       need      |     learned     |     hobbies     |
|       step      |    adventure    |     mystery     |
|       also      |  belles_lettres |     learned     |
|       eye       |  belles_lettres |     fiction     |
|      whims      |       news      |     religion    |
|       one       |     reviews     |  belles_lettres |
|       wife      |  belles_lettres |       lore      |
|       the       |    government   |  belles_lettres |
|       will      |     hobbies     |       news      |
|       the       |       lore      |  belles_lettres |
|      engage     |    government   |     hobbies     |
|       the       |       lore      |  belles_lettres |
|     pinched     |    editorial    |     hobbies     |
|      joe's      |     learned     |      humor      |
|     without     |  belles_lettres |  belles_lettres |
|      would      | science_fiction |     fiction     |
|        s.       |    government   |       news      |
|  underdeveloped |       lore      |    government   |
|   competitive   |     hobbies     |    government   |
|        .        |       news      |    adventure    |
|        be       |     hobbies     |     learned     |
|      eades      |     learned     |     hobbies     |
|     mystery     |    adventure    |  belles_lettres |
|       day       |  belles_lettres |     romance     |
|       and       |     fiction     |  belles_lettres |
|      volume     |     learned     |     learned     |
